method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
gimme	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.581	0.1273	0.3725	0.9803	0.1666	0.361	509	1045	0.3916083916083916	0.6713286713286714	0.5454545454545454	0.35664335664335667	0.4913
gimme	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.6189	0.1442	0.395	0.9874	0.2024	0.4085	549	1045	0.6573426573426573	0.7412587412587412	0.986013986013986	0.7692307692307693	0.7885
gimme	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5878	0.118	0.3725	0.9862	0.185	0.3721	510	1045	0.1958041958041958	0.6713286713286714	0.916083916083916	0.6888111888111889	0.618
gimme	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.6094	0.1205	0.38	0.9872	0.1994	0.4023	532	1045	0.23076923076923078	0.7027972027972028	0.9755244755244755	0.7587412587412588	0.667
gimme	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5944	0.1297	0.3825	0.9864	0.187	0.3763	517	1045	0.4125874125874126	0.7167832167832168	0.9475524475524476	0.7132867132867133	0.6976
gimme	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.6133	0.1324	0.39	0.9872	0.1994	0.4023	542	1045	0.4825174825174825	0.7342657342657343	0.9755244755244755	0.7587412587412588	0.7378
gimme	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5501	0.1262	0.3375	0.9878	0.1754	0.3371	447	1045	0.36013986013986016	0.08041958041958042	0.993006993006993	0.5454545454545454	0.4948
imat	01_trehalose	Trehalose	pre-infection	aerobic	True	0.8498	0.3763	0.7525	0.979	0.2504	0.5779	766	1045	0.986013986013986	0.9475524475524476	0.46153846153846156	0.9440559440559441	0.8348
imat	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.8478	0.3572	0.75	0.9789	0.2485	0.5748	783	1045	0.8951048951048951	0.9195804195804196	0.45454545454545453	0.9370629370629371	0.8016
imat	02_glycerol	Glycerol	pre-infection	aerobic	True	0.8241	0.3585	0.715	0.9639	0.184	0.5466	746	1045	0.9230769230769231	0.8146853146853147	0.0	0.6573426573426573	0.5988
imat	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.683	0.3443	0.5475	0.9848	0.1943	0.405	521	1045	0.8531468531468531	0.7622377622377622	0.8006993006993007	0.7412587412587412	0.7893
imat	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.8534	0.3726	0.76	0.9807	0.2561	0.5775	775	1045	0.9790209790209791	0.9790209790209791	0.6293706293706294	0.9685314685314685	0.889
imat	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.8499	0.3445	0.7475	0.9778	0.2517	0.5897	805	1045	0.8601398601398601	0.8916083916083916	0.34615384615384615	0.951048951048951	0.7622
imat	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.855	0.3584	0.7575	0.9795	0.258	0.5903	794	1045	0.916083916083916	0.965034965034965	0.5034965034965035	0.9825174825174825	0.8418
imat	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.8541	0.3834	0.76	0.9774	0.2454	0.5794	779	1045	0.993006993006993	0.9790209790209791	0.2727272727272727	0.9230769230769231	0.792
imat	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.8146	0.3491	0.7025	0.9812	0.2405	0.5408	731	1045	0.8671328671328671	0.7832167832167832	0.6573426573426573	0.8881118881118881	0.799
imat	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.8453	0.3941	0.75	0.9787	0.2454	0.5697	763	1045	1.0	0.9195804195804196	0.44405594405594406	0.9230769230769231	0.8217
imat	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.8121	0.3722	0.705	0.9751	0.2139	0.5258	699	1045	0.972027972027972	0.7902097902097902	0.15384615384615385	0.7762237762237763	0.6731
imat	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.8348	0.3576	0.7275	0.9752	0.2322	0.5675	769	1045	0.9090909090909091	0.8531468531468531	0.16783216783216784	0.8531468531468531	0.6958
imat	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.6029	0.2771	0.455	0.9793	0.1581	0.3434	442	1045	0.7482517482517482	0.7482517482517482	0.493006993006993	0.2097902097902098	0.5498
imat	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.8507	0.3703	0.7525	0.9792	0.2529	0.582	781	1045	0.965034965034965	0.9475524475524476	0.479020979020979	0.958041958041958	0.8374
imat	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.6037	0.2788	0.46	0.9792	0.1571	0.3413	430	1045	0.7552447552447552	0.7552447552447552	0.479020979020979	0.1958041958041958	0.5463
imat	10_gaba	GABA	biotrophic	aerobic	True	0.8262	0.3657	0.7175	0.9781	0.2362	0.5542	738	1045	0.958041958041958	0.8251748251748252	0.3706293706293706	0.8671328671328671	0.7552
imat	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.8399	0.3348	0.74	0.9787	0.2448	0.5686	766	1045	0.8321678321678322	0.8601398601398601	0.44405594405594406	0.9090909090909091	0.7614
