gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_1343	K00164	tr|H1V3Y0|H1V3Y0_COLHI	0.0306	0.9477	-0.6212	0.0338	-0.6519	0.0273	False	False	False
gene_1258	K00059	tr|H1VBY5|H1VBY5_COLHI	-0.2997	0.4847	-1.0106	0.0052	-0.7109	0.0273	False	True	False
gene_11776	K00030	tr|H1VW56|H1VW56_COLHI	-0.3791	0.2693	-0.7385	0.0093	-0.3594	0.1523	False	False	False
gene_3819	K00602	tr|A0A1B7YTH8|A0A1B7YTH8_COLHI	0.0299	0.9397	-0.2139	0.3541	-0.2438	0.2798	False	False	False
gene_11925	K00873	tr|H1VKZ9|H1VKZ9_COLHI	-0.0552	0.9005	-0.7401	0.012	-0.6849	0.017	False	False	False
gene_10594	K01872	tr|A0A1B7YDG6|A0A1B7YDG6_COLHI	0.2517	0.3668	0.4854	0.0238	0.2337	0.2402	False	False	False
gene_4944	K00463	tr|H1VK69|H1VK69_COLHI	-1.0994	0.1896	-3.2179	0.0005	-2.1185	0.0038	False	True	True
gene_166	K00275	tr|A0A1B7YAC6|A0A1B7YAC6_COLHI	0.8273	0.4513	0.511	0.5218	-0.3163	0.7007	False	False	False
gene_2680	K00264	tr|H1V039|H1V039_COLHI	0.5697	0.08	0.4636	0.0555	-0.1061	0.6659	False	False	False
gene_9660	K03782	tr|A0A1B7YKJ6|A0A1B7YKJ6_COLHI	-0.0831	0.9344	-1.4971	0.0139	-1.414	0.0179	False	True	True
gene_1521	K04043	tr|A0A1B7YAK1|A0A1B7YAK1_COLHI	-0.0043	0.9925	-0.5734	0.1109	-0.5691	0.1118	False	False	False
gene_10344	K00749	tr|A0A1B7YBD1|A0A1B7YBD1_COLHI							False	False	False
gene_5648	K00135	tr|A0A1B7YCV0|A0A1B7YCV0_COLHI	0.5904	0.1575	0.2163	0.4995	-0.3741	0.2242	False	False	False
gene_2914		tr|A0A1B7YGR1|A0A1B7YGR1_COLHI	-0.6531	0.5939	-0.0245	0.9761	0.6286	0.4591	False	False	False
gene_7453	K01535	tr|A0A1B7XUS3|A0A1B7XUS3_COLHI	-0.3168	0.6615	-0.6867	0.1658	-0.3698	0.4576	False	False	False
gene_5870	K17879	tr|A0A1B7YU43|A0A1B7YU43_COLHI	0.2975	0.8158	-1.1562	0.2321	-1.4537	0.1312	False	False	False
gene_1068	K03063	tr|H1UX02|H1UX02_COLHI	0.0299	0.9455	-0.1665	0.539	-0.1964	0.4591	False	False	False
