ec	kcat	tier	n	n_fungal	n_any
1.14.14.88	0.0928	brenda_any	2	0	2
1.14.14.9	2.52	brenda_any	34	0	34
1.14.14.90	0.0312	brenda_any	2	0	2
1.14.14.91	138.91	brenda_any	8	0	8
1.14.14.92	6.17	brenda_fungal	17	14	17
1.14.15.1	53.0	brenda_any	36	0	36
1.14.15.11	0.3258	brenda_any	2	0	2
1.14.15.14	0.2517	brenda_any	2	0	2
1.14.15.15	456.54	brenda_any	10	0	10
1.14.15.16	0.0066	brenda_any	13	0	13
1.14.15.18	0.876	brenda_any	14	0	14
1.14.15.22	0.0252	brenda_any	4	0	4
