rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn13381_e0	phospholipase B (phosphatidylinositol), yeast-specific (extracellular)	NP_014632.1 and NP_013721.1 and NP_013719.1	gene_7096 or gene_6735	0	2	0	3	CH63R_04835;CH63R_06017	NP_014632.1;NP_013721.1;NP_013719.1	CH63R_04835
ORNt3m_c0	Ornithine mitochondrial transport via proton antiport	YOR130C		0	0	0	1		YOR130C	
rxn08475_c0	iron (II) transport via diffusion (extracellular to periplasm)_c0	YMR319C		0	0	0	1		YMR319C	
rxn00024_c0	1,2-Benzenediol:oxygen oxidoreductase	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	gene_744 or gene_7359 or gene_9611 or gene_12715 or gene_6198 or gene_7087 or gene_2759 or gene_6887 or gene_2487 or gene_6642 or gene_1985 or gene_4687 or gene_4355 or gene_2006 or gene_3783	0	18	1	0	CH63R_00879;CH63R_00885;CH63R_01093;CH63R_01806;CH63R_03193;CH63R_03403;CH63R_05148;CH63R_05546;CH63R_05602;CH63R_07020;CH63R_07299;CH63R_07609;CH63R_12386;CH63R_13047;CH63R_13626;CH63R_13766;CH63R_14094;CH63R_14356;CH63R_14563		CH63R_05546;CH63R_12386;CH63R_13047
rxn00036_c0	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	gene_744 or gene_7359 or gene_9611 or gene_12715 or gene_6198 or gene_7087 or gene_2759 or gene_6887 or gene_2487 or gene_6642 or gene_1985 or gene_4687 or gene_4355 or gene_2006 or gene_3783	0	18	1	0	CH63R_00879;CH63R_00885;CH63R_01093;CH63R_01806;CH63R_03193;CH63R_03403;CH63R_05148;CH63R_05546;CH63R_05602;CH63R_07020;CH63R_07299;CH63R_07609;CH63R_12386;CH63R_13047;CH63R_13626;CH63R_13766;CH63R_14094;CH63R_14356;CH63R_14563		CH63R_05546;CH63R_12386;CH63R_13047
rxn11972_c0	R02962	SPONT		0	0	0	1		SPONT	
rxn02609_c0	R03672	SPONT		0	0	0	1		SPONT	
rxn02611_c0	R03674	SPONT		0	0	0	1		SPONT	
rxn03337_c0	5,6-dihydroxyindole:oxygen oxidoreductase	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	gene_744 or gene_7359 or gene_9611 or gene_12715 or gene_6198 or gene_7087 or gene_2759 or gene_6887 or gene_2487 or gene_6642 or gene_1985 or gene_4687 or gene_4355 or gene_2006 or gene_3783	0	18	1	0	CH63R_00879;CH63R_00885;CH63R_01093;CH63R_01806;CH63R_03193;CH63R_03403;CH63R_05148;CH63R_05546;CH63R_05602;CH63R_07020;CH63R_07299;CH63R_07609;CH63R_12386;CH63R_13047;CH63R_13626;CH63R_13766;CH63R_14094;CH63R_14356;CH63R_14563		CH63R_05546;CH63R_12386;CH63R_13047
rxn06809_c0	rxn06809	SPONT		0	0	0	1		SPONT	
rxn00293_c0	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	CH63R_05805	gene_5274	0	1	0	0	CH63R_05805		
rxn15558_c0	UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase	CH63R_07729 or CH63R_08879 or CH63R_00965 or CH63R_01844 or CH63R_04541	gene_542 or gene_1689 or gene_2238 or gene_7871 or gene_12527	0	5	0	0	CH63R_00965;CH63R_01844;CH63R_04541;CH63R_07729;CH63R_08879		
rxn01150_c0	D-Arabinose:NADP+ 1-oxidoreductase	CH63R_06927 or CH63R_08598	gene_2958 or gene_1406	0	2	0	0	CH63R_06927;CH63R_08598		
rxn01150_m0	D-Arabinose:NADP+ 1-oxidoreductase	CH63R_06927 or CH63R_08598	gene_2958 or gene_1406	0	2	0	0	CH63R_06927;CH63R_08598		
